Group Code,PT Code,PR Code,School Name,Address,District,State,Pin Code,Phone,Email,Website,"Action
",Remark,Academic Year,Strength,Board Type,Session Start From,Minority Type,Saturday Status,Working Status 
,,PR03755,Blessed Alphosa School,"Shaktinagar, Deosugur, Raichur",Raichur,Karnataka,584170,X,alphonsaschool246535@gmail.com,X,CBCI,,,1512,State,,,,
,,PR03756,Blessed Mother Theresa Model Higher Secondary School,"Cuddalore Road, Opposite Worth Institute, Nainar Mandapam, Velrampet",Pondicherry,Puducherry,605004,X,bmtmhs@gmail.com,X,CBCI,,,625,State,,,,
,,PR03757,Blessed Sacrament High School Puri,"RR3M+5MQ, Puri",Puri,Odisha,752001,X,sacramentb@gmail.com,X,CBCI,,,1500,CISCE,,,,
,,PR03758,Bon Secours,"Gopalapuram, Sowthapuram Po",Namakkal,Tamil Nadu,638008,X,bonssalem@gmail.com,X,CBCI,,,260,State,,,,
,,PR03759,Bon Secours College for Women,"Villar Rd, Thanjavur",Thanjavur,Tamil Nadu,613006,X,bonsecourscollege02@gmail.com,X,CBCI,,,4430,Bharathidasan University,,,,
,,PR03760,Bon Secours school,"Hazaribagh, Jharkhand",Dhengura,Jharkhand,825302,X,bonschoolmatukdwar@gmail.com,X,CBCI,,,300,CBSE,,,,
,,PR03761,Canossa Convent girls Intermediate College,Faizabad Cantt,Faizabad,Uttar Pradesh,224001,"05278-220099
9473723917",canossafzd@gmail.com,http://www.canossacgicfzd.edu.in,CBCI,,,1600,State,,,,
,,PR03762,Canossa Convent High School,"chalisgaon Rd, Sabir Nagar, near Sant Kabir Statue",Dhule,Maharashtra,424001,(02562) 282680,"canossahighdhule@yahoo.co.in
info@canassadhule.in",www.canossadhule.in,CBCI,,,1761,State,,,,
,,PR03763,Canossa High School,"Manickpur, Vasai West",Thane,Maharashtra,401202,91 250 2382888,info@canossaschool.com,www.canossaschool.com,CBCI,,,1250,State,,,,
,,PR03764,Canossa High School,"Mahakali Caves Rd, Subhash Nagar, Andheri East, Mumbai",Mumbai,Maharashtra,400093,X,info@canossaprimaryandheri.org,https://canossaprimaryandheri.org,CBCI,,,1200,State,,,,
,,PR03765,"Canossa Primary Special School, Mahim","2, St Gabriel Rd, Bethany Co-Operative Housing Society, New Dinkar Co Operative Housing Society, Mahim",Mumbai,Maharashtra,400016,X,canossaspecial@gmail.com,X,CBCI,,,125,Intellectually Disabled,,,,
,,PR03766,Capitanio Nursery School,"Dr.Nanjappa Road,Kattoor",Coimbatore,Tamil Nadu,641018,X,capitanionursery1983@gmail.com,X,CBCI,,,36,Nursery School,,,,
,,PR03767,Cardinal Gracias High School,"Ali Yavar Jung Marg, near Teacher Colony, Subhash Nagar, Bandra East",Mumbai,Maharashtra,400051,91-22-26426843,Principal@cardinalgraciashighschool.org,https://cardinalgraciashighschool.org,CBCI,,,4500,State,,,,
,,PR03768,Cardinal Pimenta Adivasi High school,"Cardinal Pimenta Adivasi High school Varkhanda, Talasari",Palghar,Maharashtra,,X,NA,X,CBCI,,,406,State,,,,
,,PR03769,"Carmel CMI Public School, Puliyanmala","Carmel Hills, Puliyanmala, Idukki",Idukki,Kerala,685515,X,carmelplma@gmail.com,X,CBCI,,,1536,CBSE,,,,
,,PR03770,Carmel Convent High School,"Carmel Convent Nandakhal, Abraham Naka, Post Agashi",Thane,Maharashtra,301401,X,Carmelschnandakhal@gmail.com,X,CBCI,,,1219,State,,,,
,,PR03771,Carmel Convent Hr. Sec. School,Laxmipur Road Raigarh,Raigarh,Chhattisgarh,496001,X,"raigarhcarmel@gmail.com
carmelschoolraigarh@gmail.com",X,CBCI,,,4000,CISCE,,,,
,,PR03772,Carmel Convent School,Gandhigram-Junagadh,Junagadh,Gujarat,362001,X,carmelschool123@gmail.com,X,CBCI,,,1500,State,,,,
,,PR03773,Carmel English School,"BN Road, Nanjangud, Mysore",Mysore,Karnataka,571301,8221228291,myrtlejoice@gmail.com,https://carmelschoolnanjangud.in,CBCI,,,181,State,,,,
,,PR03774,Carmel Giri Convent High School,Orient Cement Colony,Adilabad,Telangana,504218,X,carmelgiridvp@gmail.com,X,CBCI,,,1012,State,,,,
,,PR03775,Carmel High School,"41, Gariahat Road, (S), Dhakuria, Kolkata,",Kolkata,West Bengal,700031,2473-1132/4006-5688,chskolkata@gmail.com,https://chskolkata.in/chs,CBCI,,,1150,State,,,,
,,PR03776,Carmel Higher Secondary School,"Chekiye Village, 4th Mile, Dimapur, Nagaland",Dimapur,Nagaland,797115,X,carmeldimapur@gmail.com,X,CBCI,,,1768,State,,,,
,,PR03777,Carmel of St. Joseph School,"Adarsh Lane, Off, Marve Rd, Malad West",Mumbai,Maharashtra,400064,022-28650144,"carmelschool1967@gmail.com 
contactus@carmelofstjoseph.in",http://www.carmelofstjoseph.in,CBCI,,,2500,State,,,,
,,PR03778,Carmel School,"Carmel School, B.B.T Road, Maheshtala",South 24 Parganas,West Bengal,700137,"033 2480 0295
8274010397",carmelsar@gmail.com,http://carmelschoolsarangabad.org,CBCI,,,2300,CISCE,,,,
,,PR03779,Carmel School,"P5WH+RH6, Chakatroo",Poonch,Jammu & Kashmir,185101,X,carmelschoolchandak@gmail.com,X,CBCI,,,832,State,,,,
,,PR03780,Carmel School Brambe Ranchi,Brambe Opp,Ranchi,Jharkhand,835205,"88092 78554
95462 76806",carmelschoolbrambe@gmail.com,http://carmelschoolbrambe.com,CBCI,,,900,CISCE,,,,
,,PR03781,Carmel School Kargali,Bermo P.O Bokaro,Bokaro,Jharkhand,829104,X,carmelschoolkargali@rediffmail.com,http://www.carmelschoolkargali.in,CBCI,,,1400,CBSE,,,,
,,PR03782,Cathedral Senior Secondary School,"70, Mahatma Gandhi Marg, Hazratganj",Lucknow,Uttar Pradesh,226001,X,cathedrallucknow@yahoo.com,www.cathedralschoollucknow.org,CBCI,,,3000,CBSE,,,,
,,PR03783,Chavara English Medium School,"Chavara Nivas, Nandurbar",Nandurbar,Maharashtra,425412,"9405197810
9405197897",cems_ndb@rediffmail.com,www.chavaranandurbar.com,CBCI,,,2250,State,,,,
,,PR03784,Chavara Higher Secondary School,Bhanpuri. BASTAR Dt.C.G,Kondagaon,Chhattisgarh,494226,X,chavarahighschoolbhanpur@gmail.com,X,CBCI,,,620,State,,,,
,,PR03785,"Christ High School, Nowshera","New Nowshera Bridge, Naushera",Rajauri,Jammu & Kashmir,185151,X,NA,http://www.christnowshera.in,CBCI,,,1300,CBSE,,,,
,,PR03786,Christ Jyoti School,"Old Market Road, Singrauli",Singrauli,Madhya Pradesh,486889,"7805298201
7805298202","christjyoti@yahoo.co.in
christjyotisgrl@gmail.com",https://www.christjyotisingrauli.org,CBCI,,,1510,CBSE,,,,
,,PR03787,Christ School,Mancherial,Adilabad,Telangana,504208,X,NA,X,CBCI,,,350,State,,,,
,,PR03788,"Christ School, Bhopal","Poornodaya Training Center, patel Nagar",Bhopal,Madhya Pradesh,462022,"0755-2529007
9424402030
8602453511",christacademybhopal@gmail.com,http://christacademybhopal.org,Visit,,,1200,ICSE,,,,
,,PR03789,Christ School,"Carmel Bhavan, Shivaji Main Road, N.R. Mohalla",Mysore,Karnataka,570007,X,provincial@cmimysore.org,X,CBD,,,2000,CBSE,,,,
,,PR03790,"Christ School, Ekhyo","Christ School Ekhyo, Kushiabill, Dimapur",Kushiabill,Nagaland,797112,X,NA,X,CBCI,,,340,State,,,,
,,PR03791,"Christ School, Manipal","Alevoor - Manipal Rd, Eshwar Nagar",Udupi,Karnataka,576104,X,christschool2002@gmail.com,X,CBCI,,,699,SSC,,,,
,PT1450,PR03792,"Christ the King College, Jhansi","Rani Jhansi Rd, Civil Lines, Cantt, Jhansi,",Jhansi,Uttar Pradesh,284001,X,ckcacademy01@gamil,X,CBCI,,,2000,ICSE,,,,
CS-26,,PR03793,Christ The King English Medium School,Sardar Vallabhbhai Patel Ward no.10,Betul,Madhya Pradesh,460551,X,christthekingschool658@gmail.com,X,CBCI,,,295,State,,,,
,,PR03794,Christ Vidhya Bhavan,"2H4J+XWX, Obaidullaganj",Raisen,Madhya Pradesh,464993,X,cvbovidhya@gmail.com,X,CBCI,,,950,State,,,,
,,PR03795,Christhu Jothi Matriculation Higher Secondary School,"B P AGRAHARAM, BHAVANI ROAD, ERODE",Chennai,Tamil Nadu,638005,X,christhujyothimhss@gmail.com,X,CBCI,,,2130,State,,,,YES
,PT1394,PR03796,Christopher Day School,Malancha Road P.o. Nimpura Kharagpur,West Midnapore,West Bengal,721304,X,"head@WB213cisce.org, cds_kgp@yahoo.co.in",cdskgp.com,CBCI,,,1300,CISCE,,,,
,,PR03797,Christu Jyothi Convent Sr Sec School,Christujoythi convent highschool bercha,Bagpat,Uttar Pradesh,250611,X,Conventbercha1984@gmail.com,X,CBCI,,,1500,ICSE,,,,
,,PR03798,Christu Jyothi Convent Sr Sec School,"464X+Q4J, Baraut Rural, Uttar Pradesh 250611",Baraut,Uttar Pradesh,250611,X,christujyothibaraut@gmail.com,X,CBCI,,,3000,CISCE,,,,
,,PR03799,Christu Jyoti Convent School,GARKMUKTESHWAR,Garh Mukteshwar,Uttar Pradesh,245205,X,cjcsgarh@gmail.com,X,CBCI,,,1300,CISCE,,,,
,,PR03800,Christuraja LP School,"Christ Hall, Malaparamba, Kozhikode",Kozhikode,Kerala,673009,X,christurajalps@gmail.com,X,CBCI,,,286,State,,,,
,,PR03801,Claret School,"Saha Nagar, Radhakantapur Post - 713146",Bardhaman,West Bengal,713146,"9734387797, 9144666399",head@WB332cisce.org,http://www.claretsahanagar.com/,CBCI,,,1800,CISCE,,,,
,,PR03802,Convent of Jesus & Mary,"1, Bangla Sahib Ln, Ashok Place, DIZ Staff Quarters, Connaught Place","Central Delhi,Bangla Sahib",Delhi,110001,X,cjmranaghat@yahoo.in,X,CBCI,,,1780,CISCE,,,,Yes
,,PR03803,Convent of Jesus & Mary High School,"Vadavali,Palle, Naigaon(West), Vasai",Thane,Maharashtra,401201,X,Cjm.naigaon@gmail.com,X,CBCI,,,1800,CISCE,,,,
,,PR03804,Convent Of Our Lady Of Providence Girls' High School,"75, AJC Bose Road, Calcutta,",Kolkata,West Bengal,700014,X,coolpschool@yahoo.com,X,CBCI,,,1130,State,,,,
,,PR03805,"Convent of the Sacred Heart, Dadar","Gadgil marg, prabadevi, K.Gadgil Marg, Prabhadevi",Mumbai,Maharashtra,400025,X,convent_girls@rediffmail.com,X,CBCI,,,2000,State,,,,
,,PR03806,De Meester school,"De Meester School, Sisaundha Dera, Dhansoi, Buxar, Bihar",Buxar,Bihar,,X,demeesterdhansoi@gmail.com,X,CBCI,,,210,CBSE,,,,
,,PR03807,De Paul English Medium Higher Secondary School,"Angamaly Kanakankadavu Rd, Angamaly South, Angamaly",Ernakulam,Kerala,683573,X,mangalathjohn@gmail.com,X,CBCI,,,1500,State,,,,
,,PR03808,De Paul International Residential School & Junior College,"Belagola, Srirangapatna, Taluk, Avverahalli",Mandya,Karnataka,571606,X,office@dpirs.org,X,CBCI,,,500,CISCE,,,,
,,PR03809,"De Paul School, Satna","Madhavgarh, Satna M.P.",Satna,Madhya Pradesh,485113,X,depaulschoolsatna@gmail.com,X,CBCI,,,980,CBSE,,,,
,,PR03810,De Paul Scool,"De Paul School, Bilsi Road, Bisauli, Budaun",Bisauli,Uttar Pradesh,243720,X,depaulschoolbisauli51@gmail.com,X,CBCI,,,500,State,,,,
,,PR03811,"Deepti Convent School, Tokapal","Deepti Convent School, Tokapal",Tokapal,Chhattisgarh,,X,dcstokapal@gmail.com,X,CBCI,,,360,CBSE,,,,
,,PR03812,Devashish Vidhya Mandir High School,"Devashish Vidhya Mandir, Tavra Village, Waghodia",Vadodara,Gujarat,391760,X,devashish432@gmail.com,X,CBCI,,,400,State,,,,
,,PR03813,Dilkhush Special School,"Juhu Road, Ramada Plaza Palm Grove, Juhu",Mumbai,Maharashtra,400049,X,juhudss71@gmail.com,X,CBCI,,,150,State,,,,
,PT2256,PR03814,Divine Mercy School,"Mavai Road, Orai",Orai,Uttar Pradesh,285001,X,divinemercyorai@gmail.com,X,CBCI,,,800,CBSE,,,,
,,PR03815,Divine Providence Convent High School,"Millenium Garden- Party Lawns, Shukrawar Peth Rd, Shivaji Colony, Tilakwadi",Belagavi,Karnataka,590006,X,hmdivineprovidencbgm@gmail.com,X,CBCI,,,1300,State,,,,
,,PR03816,Divine Saviour School,"Bhitha, Kanke Road, Ranchi",Ranchi,Jharkhand,834008,X,bchinnasds@gmail.com,X,CBCI,,,70,State,,,,
,,PR03817,Divine Word School,"Roing po, lower Dibang Valley dt, Arunachal Pradesh",Lower Dibang Valley,Arunachal Pradesh,792110,X,dwsroing@gmail.com,X,CBCI,,,950,CBSE,,,,
,,PR03818,Divya Jyothi School,"Divya Jyothi School, Nilgan road. Bhalki",Bidar,Karnataka,585401,X,NA,X,CBCI,,,450,State,,,,
,,PR03819,Divya Jyoti Convent School,"Sarbana p.o,Betnoti ,Mayurbhanj dis,Odisha",Betnot,Odisha,757025,X,djcsbetnoti@gmil.com,X,CBCI,,,450,CBSE,,,,
,,PR03820,"Dnyanjyoti Kanya Asram school, Tilloli","P.O. Kochergaon, Tal. Dindori",Nashik,Maharashtra,,X,tilloliashram@gmail.com,X,CBCI,,,500,State,,,,
,,PR03821,Dnyanmata High School,"Camp Rd, in front of South Kitchen Restaurant, Paranjpe Colony",Amaravati,Maharashtra,444602,X,dhsamravati@gmail.com,X,CBCI,,,3600,State,,,,
,,PR03822,Don Bosco College,Don Bosco chiechama,Chiechama,Nagaland,,987654321,NA,http://www.dbckohima.ac.in/,CBCI,,,167,State,,,,
,,PR03823,Don Bosco,Chiephobozou,Zubza,Nagaland,797105,X,jijimathewn@gmail.com,X,CBCI,,,281,State,,,,
,,PR03824,Don Bosco Agartala,Nandan nagar,Nandan Nagar,Tripura,799006,X,donboscoschoolagartala@yahoo.in,X,CBCI,,,2000,CBSE,,,,
,,PR03825,Don Bosco College,"Angadikadavu, kannur district, kerala",Kannur,Kerala,670706,X,dbascoffice@gmail.com,X,CBCI,,,1000,State,,,,
,,PR03826,Don Bosco High School,"Near, Paruwa Chariali, Tezpur",Cachar,Assam,784501,X,donbosconikamul@gmail.com,X,CBCI,,,1600,State,,,,
,,PR03827,Don Bosco High School,"P.O. Hamren, west karbi Anglong, Assam.",Hamren,Assam,782486,X,dbshamren18@gmail.com,X,CBCI,,,700,State,,,,
,,PR03828,Don Bosco High School,Don Bosco School Rong bong ghat,"South Delhi,Alaknanda",Delhi,110019,X,dbsrongbongghat@gmai.com,X,Visit,,,2200,State,,,,Yes
,,PR03829,"Don Bosco High School and Junior College, Naigaon","St Marys Rd, Post Juhuchandra, Opposite Rashmi Internationational School - CBSC, Naigaon East",Thane,Maharashtra,401208,X,donbosconaigaon@gmail.com,www.donbosconaigaon.org,CBCI,,,2200,State,,,,
,,PR03830,"Don Bosco High School,Silapathar",,Silapathar,Assam,787059,9862506662,donboscoslp@gmail.com,http://www.donboscosilapathar.in,CBCI,,,2300,SEBA,,,,
,,PR03831,Don Bosco Higher Secondary School,"Don Bosco School Road, Meenakshi Amman Nagar, Madurai",Madurai,Tamil Nadu,625001,X,donboscomadurai@gmail.com,X,CBCI,,,746,State,,,,
,,PR03832,Don Bosco High School Lakhuti,"Don Bosco School,,lakhuti Village,aitepyong B.p.o,wokha,nagaland",Wokha,Nagaland,,X,dbhslakhuti@gmail.com,X,CBCI,,,340,State,,,,
,,PR03833,Don Bosco Matric Hr. Sec. School,"G.N.T Road, Karanodai",Tiruvallur,Tamil Nadu,600067,X,dondbk2007@gmail.com,X,CBCI,,,1978,State,,,,
,,PR03834,Don Bosco Primary School,"Alto-Dabolim, Goa",South Goa,Goa,403801,X,donboscodabolim@gmail.com,X,CBCI,,,129,State,,,,
,,PR03835,Don Bosco School,Mangalagiri,Guntur,Andhra Pradesh,,X,dbemschool2017@gmail.com,X,CBCI,,,460,State,,,,
,,PR03836,Don Bosco School,Don Bosco school Siaha Mizoram,Siaha,Mizoram,796901,X,NA,X,CBCI,,,856,State,,,,
,,PR03837,Don Bosco School,Don Bosco High School Rongbonghat,Rongbonghat,Assam,,X,dbs rongbongghat @gmail.com,X,CBCI,,,984,State,,,,
,,PR03838,"Don Bosco School, Kolkata","Don Bosco , 23 Darga Road, park circus, Kolkata",Kolkata,West Bengal,700017,X,dbkolkata@gmail.com,X,CBCI,,,2700,CISCE,,,,
,,PR03839,Don Bosco School,"Aghunato, Zunheboto (Dt), Nagaland",Zunheboto,Nagaland,,X,dbsagunato@gmail.com,X,CBCI,,,500,State,,,,
,,PR03840,"Don Bosco School, Bharoul","Don Bosco school, Bharoul. Barahakshetra-7, chakraghatti",Sunsari,Nepal,,X,morningstarschoolchakraghatti@gmail.com,X,CBCI,,,1500,Foreign,,,,
,,PR03841,"Don Bosco School, Tseminyu",Tseminyu,Kohima,Nagaland,797109,X,donboscoschooltseminyu@gmail.com,X,CBCI,,,725,State,,,,
,,PR03842,"Don Bosco School, Hubballi",Sutgatti-navanagar,Dharwad,Karnataka,580025,X,pedrupinth@gmail.com,X,CBCI,,,300,State,,,,
,,PR03843,"Don Bosco School, Katihar","Sri Mahanth Nagar, Laliyahi",Katihar,Bihar,854105,X,donboscoschoolkatihar@gmail.com,X,,,,1500,CISCE,,,,
,,PR03844,"Don Bosco School, Tuli","DON BOSCO SCHOOL TULI, LONGPONG WARD",Tuli,Nagaland,798618,X,dbhstuli@gmail.com,X,CBCI,,,516,State,,,,
,,PR03845,"Don Bosco Senior Secondary School,","Plot No.8, Sector 42-A, opp. D-Mart, Nerul (W, Seawoods",Thane,Maharashtra,400706,X,donbosconerul@gmail.com,X,CBCI,,,2200,CBSE,,,,
,,PR03846,Euphrasie Nilaya English Medium School,"Euphrasie Nilaya, Dupadmahagaon road, Ladha, Aurad,",Bidar,Karnataka,585421,X,binitarndm1998@gmail.com,X,CBCI,,,50,State,,,,
,,PR03847,Euphrasie Nilaya pre primary School,"Dupath Mahagaon Road, Ladha post Aurad Taluk Bidar",Bidar,Karnataka,585421,X,NA,X,CBCI,,,50,State,,,,
,,PR03848,Father Agnel School,Squadron Leader Mohinder Kumar Jain Marg,"South Delhi,Gautam Nagar",Delhi,110049,X,office@agnel.org,X,CBCI,,,2750,CBSE,,,,Yes
,,PR03849,Father Jacquier Memorial English School,"Mahalgaon, Bajathan phata.Tq.Vaijapur",Aurangabad,Maharashtra,,X,fjmes1234@gmail.com,X,CBCI,,,270,CBSE,,,,
,,PR03850,Fatima Central School,"Piravom p.o, Ernakulam",Piravom,Kerala,686664,X,fatimacbse@gmail.com,X,CBCI,,,1010,CBSE,,,,
,,PR03851,"Fatima Convent School, Kamrup","Fatima Nagar, Bongaon, Rangia, Kamrup",Kamrup,Assam,781354,X,fatimaschoolrangia@gmail.com,X,CBCI,,,1500,CBSE,,,,
,,PR03852,Fatima Convent Senior Secondary School,"Fatima Content School, Dondwada",Ghaziabad,Uttar Pradesh,201003,X,www.fatimaconventschool.com,X,CBCI,,,280,State,,,,
,,PR03853,Fatima Girls Higher Secondary School,"Gudalur, Nilgiris",Nilgiris,Tamil Nadu,643211,X,fatimaghssgdr@gmail.com,X,CBCI,,,1086,State,,,,
,,PR03854,Fatima High School,"Village: Gothada;Tal.,Savli",Vadodara,Gujarat,391770,X,fatimahighschool@ymail.com,X,CBCI,,,235,State Board,,,,
,,PR03855,"Fatima Mata School, Kalpi","Langerpur, Kalpi Dist. Jalaun,",Jalaun,Uttar Pradesh,285203,8756226553,fatimamatakalpi@gmail.com,https://www.fatimamataschoolkalpi.com,CBCI,,,768,CBSE,,,,
,,PR03856,Fatima Matric Hr Sec School,"Mathanathur road, Jayankondam",Ariyalur,Tamil Nadu,621802,X,fatimamatricjkm@gmail.com,X,CBCI,,,89,Matric,,,,
,,PR03857,Fatima Matriculation Higher Secondary School,"2, 3rd Main Rd, United India Colony, Kodambakkam",Chennai,Tamil Nadu,600024,X,hss.fatima@gmail.com,,CBCI,,,1200,Matriculation and ICSE,,,,
,,PR03858,Fatima School Umralla,"Umrale, Samel Pada, Nalasopara West",Thane,Maharashtra,401203,X,fatimaschool2015@gmail.com,X,CBCI,,,428,State,,,,
,,PR03859,Ferrando School,"Aizawl,Mizoram",Aizawl,Mizoram,,X,schoolferrando@gmail.com,X,CBCI,,,500,State,,,,
,,PR03860,Ferrando School,Ferrando school mahadevpur P. O Mahadevpur DIST Namsai,Lohit,Arunachal Pradesh,792105,X,ferrandomahadevpur@gmail.com,X,CBCI,,,600,State,,,,
,,PR03861,"Ferrando School, Zemabawk","Ferrando School, Lungbial",Zemabawk,Mizoram,796017,X,Schoolferrando@gmail.com,X,CBCI,,,5550,State,,,,
,,PR03862,Ferrando Sec. School Mawrusyiar,"Mawrusyiar, Nongstoin, West Khasi Hills",West Khasi Hills,Meghalaya,793119,X,ferrandoschoolnongstoin@gmail.com,X,CBCI,,,383,State,,,,
,,PR03863,Fr Agnel High School,Pilar Tiswadi-Goa,North Goa,Goa,403402,X,fragnelhighschool@gmail.com,X,CBCI,,,550,State,,,,
,,PR03864,Fr Agnel higher Secondary School Pilar Goa,Fr Agnel higher secondary school Pilar,North Goa,Goa,403203,X,fahsspilar@gmail.com,X,CBCI,,,600,State,,,,
,,PR03865,Fr. Agnel Multipurpose Higher Secondary School,"Panjim-Margaon, NH 17 Bypass, Matol, Verna",North Goa,Goa,403722,X,agnelmhighschool@gmail.com,X,CBCI,,,818,State,,,,
,,PR03866,"Fr. Agnel School, Waliv Vasai East","Opp. Shalimar Hotel, Jay Nagar, Dist. Palghar",Palghar,Maharashtra,,X,fragnelwaliv@gmail.com,X,CBCI,,,1130,State,,,,
,,PR03867,Fr. Bianchi E. M High School,"Eluru road, Gudivada, Krishna District",Krishna,Andhra Pradesh,521301,X,frbianchiemsch.gdv@gmail.com,X,CBCI,,,877,State,,,,
,,PR03868,Gerosa Nursary and primary school,"Health camp, Gudalur",Nilgiris,Tamil Nadu,643212,X,gerosanps@gmail.com,X,CBCI,,,582,State,,,,
,,PR03869,Gnanmata Adivasi High School,"6V5V+RQ8, Upalat",Thane,Maharashtra,401606,X,gnanmatauplat@gmail.com,X,CBCI,,,479,State,,,,
,,PR03870,Gnanmata Secondary Higher Secondary School,"zari , Talasari district palghar",Nanded,Maharashtra,431605,X,gnanmatazarish@gmail.com,X,CBCI,,,654,State,,,,
,,PR03871,Golden Bells High School,"kambadur road, near by pass, Kalyandurg",Ananthapur,Andhra Pradesh,515761,X,johnpeter.alcposs@gmail.com,X,CBCI,,,750,State,,,,
,,PR03872,Good Shepherd Convent Composite PU College,"Lashkar Mohalla, Lourdu Nagar, Mandi Mohalla",Mysore,Karnataka,570001,X,goodshepherdmysore2018@gmail.com,X,CBCI,,,1000,State,,,,
,,PR03873,"Good Shepherd Convent School, Karjat","Dt, Gundage",Raigarh,Maharashtra,410201,X,goodshepherdkarjat@gmail.com,X,CBCI,,,900,State,,,,
,,PR03874,"Good Shepherd School, Bagdogra","Base Hospital Rd, Army Cant. Area",Darjeeling,West Bengal,734422,X,gssbagdogra1970@gmail.com,X,CBCI,,,1800,CISCE,,,,
,,PR03875,Gyandeep Middle School Tilaibani,"Phulchi, gandey giridih",Pachamba,Jharkhand,815312,X,gyandeepmiddleschool@gmail.com,X,CBCI,,,559,State,,,,
,,PR03876,"Gyanodaya English Medium School, Jabla Tapkara",Jabla Tapkara,Jashpur Nagar,Chhattisgarh,496227,X,gemstapkara@gmail.com,X,CBCI,,,800,State,,,,
,,PR03877,Halodao Memorial St. Mary's School,"LANGTING HASIN, DT. DIMA HASAO",Hasao,Assam,788832,X,hmstmarysschoollangting2003@gmail.com,X,CBCI,,,600,State,,,,
,,PR03878,"Holy Angles School, Greater Noida","India Expo Mart Cir, Knowledge Park II",Greater Noida,Uttar Pradesh,201310,X,holyangeks@gmail.com,X,CBCI,,,150,Relgious,,,,
,,PR03879,"Holy Child School, Dimapur","Holy Child School, Dimapur, UNB-B, Nagaland",Dimapur,Nagaland,797117,X,holychilddimapur@gmail.com,X,CBCI,,,1200,CISCE,,,,
,,PR03880,Holy Cross Ashram School,Datia,Datia,Madhya Pradesh,475661,X,hcasdatia@live.in,X,CBCI,,,1325,CISCE,,,,
,,PR03881,The Heritage School,"14/6 New Road Near MKP Girls Inter College, Race Course",Dehradun,Uttarakhand,248001,X,heritageddn@gmail.com,X,Visit,,,2000,ICSE,,,,
,,PR03882,St. Thomas College,"2, Cross Rd, Darshan Lal Chowk, Race Course",Dehradun,Uttarakhand,248001,"91-135-2714108
91 135 2654374
91 135 2710743",stthomascollegedehradun@gmail.com,www.stthomascollege.in,Visit,,,1800,ICSE,,,,
,,PR03883,St. Mary' s School,"Kotdwara Rd, Ghisatpuri",Najibabad,Uttar Pradesh,246763,X,smsnajimabad@gmail.com,X,Visit,,,,,,,,
,,PR03884,UJALA Pastoral Centre,"Nimbuchaur P.O,, Kotdwar",Nimbuchaur,Uttarakhand,246149,X,NA,X,No Visit,,,,,,,,
,,PR03885,"Holy Cross Boys' High School, Badnera","Holy Cross Boys' High School, Near Sindhi Camp, New Town, Badnera",Amaravati,Maharashtra,444701,X,holycrossboys@rediffmail.com,X,CBCI,,,555,State,,,,
,,PR03886,Holy Cross Convent School,"Near Paul Church, Vasai Verar",Thane,Maharashtra,401203,X,srrosydias@gmail.com,X,CBCI,,,2250,State,,,,
,,PR03887,Holy Cross Co-Ed Senior Secondary School,"Bhopal Rd, Berasia Road, Main Rd, Lambakheda",Bhopal,Madhya Pradesh,462038,X,holycrosscoedschool@gmail.com,http://www.holycrossbhopal.com,Visit,,,1200,CBSE,,,,
,,PR03888,Holy Cross Convent,"Mainalli P.O. North Kanara 
Mundgod",Uttara Kannada,Karnataka,581349,"08301-290702, 270361",holycrossmainalli@gmail.com,www.holycrossbangalore.com,CBCI,,,500,Social work,,,,
,,PR03889,Holy Cross Convent and SS Centre,"WING-B, Dr Keshav Baliram Hedgewar Rd, Bhayandar, Sripal Nagar",Thane,Maharashtra,401101,X,NA,X,CBCI,,,345,State,,,,
,,PR03890,Holy Cross Senior Secondary School,Nedumkandam Idukki,Udumbanchola,Kerala,685553,X,holycrossndkm@gmail.com,X,CBCI,,,2000,CBSE,,,,
C5 - 089,PT1167,PR03891,Holy Cross Convent High School,Ranbir Singh Pura,Jammu,Jammu & Kashmir,181102,X,holycrossjammu@gmail.com,X,CBCI,,2023-24,1700,State,,,,
,,PR03892,Holy Cross Convent Matriculation School,"Devala, Gudalur",Nilgiris,Tamil Nadu,643001,X,hccmschool@gmail.com,X,CBCI,,,860,State,,,,
,,PR03893,"Holy Cross Convent Primary School, Akola","JATHARPETH, AKOLA",Akola,Maharashtra,444005,X,hccpsakola@rediffmail.com,X,CBCI,,,1057,State,,,,
,,PR03894,Holy Cross Convent School,"Holy Cross Sisters, Panodi, Taluka Sangamner, dist. Nagar",Ahmednagar,Maharashtra,413738,X,holycrossconvent@gmail.com,X,CBCI,,,60 KG,State,,,,
,,PR03895,Holy Cross Convent School,"Station Road, Near St Joseph Church, Sheetal Nagar, Mira Road East, Mira Bhayandar, Bharat Nagar",Mumbai,Maharashtra,401107,X,hccsprimarymiraroad@gmail.com,X,CBCI,,,1355,State,,,,
,,PR03896,"Holy Cross Convent School, Dindigul",Ramayan Patti M.N Patti YP.OÂ¨Palani Road,Dindigul,Tamil Nadu,624002,X,amalascsc@gmail.com,X,CBCI,,,1400,State,,,,
,,PR03897,"Holy Cross Convent School, Thane","Karnik Road, Kalyan",Thane,Maharashtra,421301,X,NA,X,CBCI,,,4300,State,,,,
,,PR03898,"Holy Cross Convent School, Dharmanagar","95Q2+5FQ, Dharmanagar",Dharmanagar,Tripura,799251,X,NA,X,CBCI,,,650,CISCE,,,,
